Ma prière My prayer ,"Parent, Lionel, 1905-1980",1939,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1079/1/502991.m4a
Ma vigne et ma mie Noël d'Irlande ,"Cuvillier, Charles, 1877-1955",1920,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1080/1/500424.m4a
Madame Capulet Sur le pont du Nord ,"Cartier, Jean","1942, 1930","1 disque : analogique, 78 r/min ; 18 cm",http://collections.banq.qc.ca/bitstream/52327/1081/1/497912a.m4a
Madeleine  [enregistrement sonore] ,"Belleval, J.F. de (Joséphat Fournier de)",1927,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1082/1/496958a.m4a
"Madelon, Madeleine Mirage ","Borel-Clerc, Charles, 1879-1959",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1083/1/497001.m4a
Mae West en vacances Les p'tit's du quinz'sous [sic] ,"Nohcor, Alfred, né 1885",1936,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1084/1/503308a.m4a
Mais! quand on s'aime fox trot chanté ,"Perron, Fernand, 1903-1953",1936,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1085/1/495124a.m4a
Maître Pierre  [enregistrement sonore] ,"Dumont, Lucille, 1919-2016",1949,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1086/1/503142a.m4a
"La maitresse d'école Marie-toi pas, Nicolas ","Légaré, Ovila, 1901-1978",1930,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1087/1/498682a.m4a
"La maîtresse d'école et, Marie-toi pas, Nicolas ; Faut pas se faire de bile, &, Mon cousin, ma cousine ","Légaré, Ovila, 1901-1978",1931,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1088/1/498771a.m4a
Malgré moi  [enregistrement sonore] ,"Dalberty, Charles",1920,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1089/1/495537a.m4a
Malgré moi Le crucifix ,"Saucier, Joseph, 1869-1941","1920, 1905","1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1090/1/499483a.m4a
Malgré tes serments  [enregistrement sonore] ,"Pellerin, Hector, 1887-1953",1920,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1091/1/494556a.m4a
"Mam'zelle Montréal sur l'air de ""Baby blue eyes"" ","St-Jacques, Gaston, ca 1897-ca 1940",1923,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1092/1/503495.m4a
Mam'zelle Mugette  [enregistrement sonore] ,"Pellerin, Hector, 1887-1953",1918,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1093/1/494501.m4a
"Maman, c'est toi que j'aime Annette valse ","Lamarre, André",1943,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1094/1/503229a.m4a
Maman  [enregistrement sonore] ,Merle rouge (Musicien),1936,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1095/1/495095a.m4a
"Maman du film ""Les deux gamines"" ","Aubert, Jacques, musicien",1942,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1096/1/502793.m4a
Les mamans maudissent la guerre Anniversary waltz ,"Parent, Lionel, 1905-1980",1942,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1097/1/503019.m4a
Manon Ah! fuyez douce image ,"Massenet, Jules, 1842-1912",1923,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1098/1/503370.m4a
"Manon Ah fuyez, douce image ","Massenet, Jules, 1842-1912",1921,"1 disque : analogique, 80 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1099/1/496677a.m4a
"Le marchand d'étoiles sur l'air de ""Japanese sandman"" ","Pellerin, Hector, 1887-1953",1920,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1100/1/494734a.m4a
Le marchand d'étoiles The Japanese sandman ,"Pellerin, Hector, 1887-1953",1921,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1101/1/494906a.m4a
Marche [du] Mont Saint-Louis Mont St. Louis march ; Valse Valois = Valse Valois [i.e. Valois waltz] ,"Latour, Tezraf, 1888-1932",1929,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1102/1/501372a.m4a
Marche Boulanger en revenant de la revue ,"Duprato, Henry",1918,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1103/1/496219.m4a
Marche de Ste-Geneviève Clog de Pariseau ,"Montmarquette, Alfred, 1871-1944",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/bitstream/52327/1104/1/501308.m4a
